,Ad Delivery Status,Billing Event,Optimization Goal,Automatically Set Bid,Bid Type,Budget Pacing,Age Range,Gender,Countries,Max Bid,Duration,Duration Days,Frequency Cap,conversion
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.178913738019,0.0445445445445,0.0,1.0,-1.0,0.000785083415113
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.297124600639,0.374374374374,0.15637561031,1.0,-1.0,0.000894231169155
4,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.297124600639,0.374374374374,0.725036902464,1.0,-1.0,0.000443186309935
5,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.297124600639,0.374374374374,0.725036902464,1.0,-1.0,0.000417362270451
6,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.297124600639,0.374374374374,0.725036902464,1.0,-1.0,0.000563854817826
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.178913738019,0.044044044044,0.0182809129102,1.0,-1.0,8.12730612311e-05
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.136573180425,1.0,-1.0,0.000151466604527
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.136550471216,1.0,-1.0,0.00015503961816
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.136505052799,1.0,-1.0,0.000166112956811
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.136527762007,1.0,-1.0,0.000160322977926
15,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.297124600639,0.249249249249,0.433655047122,1.0,-1.0,0.000128058946518
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.178913738019,0.0447947947948,0.00445100488248,1.0,-1.0,5.24917850356e-05
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.178913738019,0.0447947947948,0.0109912569547,1.0,-1.0,0.000265596411497
27,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.0388327466788,1.0,-1.0,0.000765365064695
28,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.00197570114682,1.0,-1.0,0.000182448458311
29,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.00197570114682,1.0,-1.0,0.00138312586445
31,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.00197570114682,1.0,-1.0,0.000298900047824
34,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.00197570114682,1.0,-1.0,0.000417014178482
37,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.00197570114682,1.0,-1.0,0.000530785562633
40,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.00197570114682,1.0,-1.0,0.000490367775832
41,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.00197570114682,1.0,-1.0,0.000334858801205
42,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.00197570114682,1.0,-1.0,0.000404612583451
44,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.00197570114682,1.0,-1.0,0.000149566257852
46,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.00197570114682,1.0,-1.0,0.000581564408258
47,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.00197570114682,1.0,-1.0,0.0002171635187
50,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.121405750799,-1.0,0.133643692517,1.0,-1.0,8.73981895129e-05
51,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.0575079872204,1.0,0.121405750799,-1.0,0.0625411604406,1.0,-1.0,0.000111169121982
52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.178913738019,0.0447947947948,0.0175996366527,1.0,-1.0,0.000286377629816
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.178913738019,0.0442942942943,0.00903826501646,1.0,-1.0,9.69777574586e-05
54,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.0159744408946,-1.0,0.10169183604,1.0,-1.0,0.000336050911713
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0159744408946,0.0648148148148,0.0623594867719,1.0,-1.0,0.000856856610539
56,1.0,1.0,1.0,1.0,1.0,1.0,0.127795527157,1.0,0.0766773162939,0.136636636637,0.0015669353923,1.0,-1.0,0.000165623240253
57,1.0,1.0,1.0,1.0,1.0,1.0,0.127795527157,1.0,0.0766773162939,0.136636636637,0.0997388441013,1.0,-1.0,0.00010973271421
58,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.0159744408946,-1.0,0.135982741001,1.0,-1.0,0.000198289537209
59,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.121405750799,-1.0,0.0189621891677,1.0,-1.0,0.000306138068269
88,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,0.174174174174,-1.0,1.0,-1.0,0.000905387052965
89,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,0.174174174174,-1.0,1.0,-1.0,1.23968735085e-05
90,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0990990990991,-1.0,1.0,-1.0,0.0171650055371
91,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0990990990991,-1.0,1.0,-1.0,0.00165243734508
92,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0990990990991,-1.0,1.0,-1.0,6.48760866745e-06
129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,-1.0,0.0251633409853
130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,-1.0,0.00213447171825
131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,-1.0,0.00120963989951
132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,-1.0,0.0116699083079
133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,-1.0,0.00349497597204
134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,-1.0,0.00109425573332
135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,-1.0,0.000752738881231
136,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,0.199199199199,0.423208811173,1.0,-1.0,0.00137237754669
137,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,0.199199199199,0.423208811173,1.0,-1.0,0.00086236733368
138,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,0.199199199199,0.423208811173,1.0,-1.0,0.00377403170187
140,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0990990990991,-1.0,1.0,-1.0,0.000199005736723
142,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0990990990991,-1.0,1.0,-1.0,0.000120435287539
143,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0990990990991,-1.0,1.0,-1.0,0.00134438718351
166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.178913738019,0.0447947947948,0.0407630294084,1.0,-1.0,7.97957229492e-05
172,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,0.198083067093,1.0,0.466453674121,0.0740740740741,0.203429090496,1.0,-1.0,0.000292412749196
174,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,0.198083067093,1.0,0.466453674121,0.0740740740741,0.203383672079,1.0,-1.0,0.000367579489065
176,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,0.198083067093,1.0,0.466453674121,0.0740740740741,0.203429090496,1.0,-1.0,0.000214408233276
178,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,0.198083067093,1.0,0.466453674121,0.249249249249,0.203383672079,1.0,-1.0,0.000160913991472
179,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,0.0351437699681,1.0,0.466453674121,0.0740740740741,0.135301464744,1.0,-1.0,4.17410178547e-05
180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.105007380493,1.0,-1.0,0.000310093544886
182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.341183149767,1.0,-1.0,0.000149893371306
183,1.0,1.0,1.0,1.0,1.0,0.364217252396,0.00319488817891,1.0,0.466453674121,0.249249249249,0.00233904848416,1.0,-1.0,9.10415149308e-05
184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.201385261724,1.0,-1.0,0.000201417849584
185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.105030089701,1.0,-1.0,0.000101072815744
186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.303008970137,1.0,-1.0,6.60066006601e-05
187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.341160440559,1.0,-1.0,0.00012356962829
188,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.466453674121,0.374374374374,0.00236175769274,1.0,-1.0,0.00022174353776
191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.341183149767,1.0,-1.0,0.000205942033375
193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.201430680141,1.0,-1.0,0.000131608710852
194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.105075508119,1.0,-1.0,5.85868843495e-05
195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.302918133303,1.0,-1.0,8.28397465104e-05
196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.34113773135,1.0,-1.0,0.000165024145638
197,1.0,1.0,1.0,1.0,1.0,0.364217252396,0.00638977635783,1.0,0.466453674121,0.249249249249,0.00240717610991,1.0,-1.0,0.00033836653555
198,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.466453674121,0.499499499499,0.105416146247,1.0,-1.0,0.000560102925845
199,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.466453674121,0.124124124124,-1.0,1.0,-1.0,0.000594726756096
200,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.466453674121,0.124124124124,0.106778698762,1.0,-1.0,0.000673905856623
201,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.466453674121,0.124124124124,-1.0,1.0,-1.0,0.000491141398164
202,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.466453674121,0.499499499499,0.106687861928,1.0,-1.0,0.000737337959549
203,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.466453674121,0.124124124124,-1.0,1.0,-1.0,0.000561533110176
204,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.466453674121,0.0740740740741,0.384716702623,1.0,-1.0,0.0010104071941
205,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.466453674121,0.0740740740741,0.384807539457,1.0,-1.0,0.000904507710558
206,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.466453674121,0.0740740740741,0.384852957874,1.0,-1.0,0.000808543257064
207,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.297124600639,-1.0,0.63415464971,1.0,-1.0,0.00072387103959
210,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.0339502668332,1.0,-1.0,0.000899853773762
211,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.297124600639,-1.0,0.0339502668332,1.0,-1.0,0.000127980888187
213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.297124600639,0.374374374374,0.207925513796,1.0,-1.0,0.000411974732216
216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.178913738019,0.0457957957958,0.0707846031566,1.0,-1.0,5.42446433415e-05
217,1.0,1.0,1.0,1.0,1.0,1.0,0.0159744408946,1.0,0.0766773162939,0.156656656657,0.0309526513001,1.0,-1.0,0.000203746418716
218,1.0,1.0,1.0,1.0,1.0,1.0,0.0159744408946,1.0,0.0766773162939,0.156656656657,0.0310889065516,1.0,-1.0,0.000134898151895
219,1.0,1.0,1.0,1.0,1.0,1.0,0.127795527157,1.0,0.0766773162939,0.119369369369,0.0151016237084,1.0,-1.0,0.00810036488319
220,1.0,1.0,1.0,1.0,1.0,1.0,0.127795527157,1.0,0.0766773162939,0.136636636637,0.0011354604292,1.0,-1.0,0.000195256299585
221,1.0,1.0,1.0,1.0,1.0,1.0,0.127795527157,1.0,0.0766773162939,0.136636636637,0.00154422618372,1.0,-1.0,8.32639467111e-05
222,1.0,1.0,1.0,1.0,1.0,1.0,0.127795527157,1.0,0.0766773162939,0.136636636637,0.0635176564097,1.0,-1.0,0.000113406909523
223,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.127795527157,1.0,0.0766773162939,0.170670670671,0.19936414216,1.0,-1.0,8.49096655503e-05
224,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.0766773162939,0.170670670671,0.198183263313,1.0,-1.0,3.66133840225e-05
225,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.0223642172524,1.0,0.466453674121,0.128128128128,0.231906438061,1.0,-1.0,0.000242096713732
226,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.0223642172524,1.0,0.466453674121,-1.0,0.0625638696491,1.0,-1.0,1.25982664785e-05
227,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.121405750799,-1.0,0.0420347450891,1.0,-1.0,0.000182977543665
228,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.121405750799,-1.0,0.0516634495288,1.0,-1.0,0.00018788102596
229,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.121405750799,-1.0,0.0138526172363,1.0,-1.0,8.07787067329e-05
230,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.121405750799,-1.0,0.0189621891677,1.0,-1.0,0.000209663245141
231,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.121405750799,-1.0,0.0169183603951,1.0,-1.0,1.80559191817e-05
232,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.121405750799,-1.0,0.0151697513342,1.0,-1.0,0.000189491511372
233,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.121405750799,-1.0,0.0189621891677,1.0,-1.0,0.000388857466063
234,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.198083067093,1.0,0.121405750799,-1.0,0.0153514250028,1.0,-1.0,0.000843604041069
235,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.00958466453674,1.0,0.121405750799,-1.0,0.0516634495288,1.0,-1.0,0.000204126966973
236,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.121405750799,-1.0,0.0189621891677,1.0,-1.0,4.61151803488e-05
237,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.121405750799,-1.0,0.0189621891677,1.0,-1.0,6.71045236837e-05
243,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.000750750750751,0.952583172476,1.0,-1.0,0.00431654676259
244,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.000750750750751,0.952583172476,1.0,-1.0,0.00127226463104
249,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.0015015015015,0.471783808334,1.0,-1.0,0.00160901045857
251,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,-1.0,0.160576813898,1.0,-1.0,8.00768737988e-05
252,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.004004004004,0.730532530941,1.0,-1.0,0.000187118745556
253,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.004004004004,0.730532530941,1.0,-1.0,1.45022115873e-05
255,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.004004004004,0.73055524015,1.0,-1.0,0.00042744176106
256,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.004004004004,0.73055524015,1.0,-1.0,0.000280072818933
259,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.654952076677,0.00275275275275,-1.0,1.0,-1.0,0.00104058272633
260,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.654952076677,0.00275275275275,-1.0,1.0,-1.0,0.00119280906535
261,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.000750750750751,0.62550244124,1.0,-1.0,0.0010649627263
262,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.000750750750751,0.62550244124,1.0,-1.0,0.000827557670425
265,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.654952076677,0.0015015015015,-1.0,1.0,-1.0,0.00155763239875
266,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.654952076677,0.0015015015015,-1.0,1.0,-1.0,0.000751032669921
267,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.654952076677,0.0015015015015,-1.0,1.0,-1.0,0.00118530225207
268,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.000750750750751,0.625457022823,1.0,-1.0,0.000863557858377
269,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.000750750750751,0.625457022823,1.0,-1.0,0.000469704086426
270,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.002002002002,0.491813330305,1.0,-1.0,0.000650387950707
272,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,-1.0,0.365527421369,1.0,-1.0,0.000383549968038
273,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,0.001001001001,0.365527421369,1.0,-1.0,0.000576645843345
274,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,0.001001001001,0.365527421369,1.0,-1.0,0.000656311529206
277,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,0.001001001001,0.463245145907,1.0,-1.0,0.00132802124834
278,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,0.001001001001,0.463245145907,1.0,-1.0,0.000598086124402
279,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,0.001001001001,0.463245145907,1.0,-1.0,0.000580687193723
280,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,-1.0,0.463245145907,1.0,-1.0,0.000466681403974
296,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.0575079872204,1.0,0.178913738019,-1.0,0.135415010787,1.0,-1.0,0.00288471103153
297,0.495207667732,1.0,1.0,0.364217252396,1.0,1.0,0.0575079872204,1.0,0.178913738019,-1.0,-1.0,1.0,-1.0,2.70969664946e-05
298,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.0575079872204,1.0,0.178913738019,-1.0,0.00717610991257,1.0,-1.0,8.94222849747e-05
299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00638977635783,1.0,0.143340524583,1.0,-1.0,0.000175557412626
300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00638977635783,0.74974974975,0.143385943,1.0,-1.0,0.000195866060259
310,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.201362552515,1.0,-1.0,0.00023321604932
311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.201339843306,1.0,-1.0,0.000150519669158
312,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.466453674121,0.0740740740741,0.384648574997,1.0,-1.0,0.000768926578496
