,Ad Delivery Status,Automatically Set Bid,Bid Type,Budget Pacing,Max Bid,Paid Initiative Daily Budget,Paid Initiative Lifetime Budget,conversion
0,2,2,1,1,1.82,500,500,0.000785083
1,2,2,1,1,1.02,4000,12000,0
2,1,2,1,1,5.58,4000,4000,0
3,2,2,1,1,15,10000,10000,0.000894231
4,1,2,1,1,15,3800,70000,0.000443186
5,1,2,1,1,15,3800,70000,0.000417362
6,1,2,1,1,15,3800,70000,0.000563855
7,2,2,1,1,1.8,1500,1500,8.13E-05
8,1,1,1,1,100,1380,11409.6,0
9,1,1,1,1,100,1380,11409.6,0
10,1,1,1,1,100,1380,11409.6,0
11,2,2,1,1,3,5042,20138,0.000151467
12,2,2,1,1,3,16880,67250,0.00015504
13,2,2,1,1,3,4515,18060,0.000166113
14,2,2,1,1,3,11417,45666,0.000160323
15,1,2,1,1,10,10000,130000,0.000128059
16,2,2,1,1,1.83,500,500,5.25E-05
17,2,2,1,1,1.83,500,500,0.000265596
18,1,2,1,2,3,367.29,5142,0
19,1,2,1,2,3,367.29,5142,0
20,1,2,1,2,5,1989.79,27857,0
21,1,2,1,2,5,1989.79,27857,0
22,2,2,1,1,3,110,550,0
23,1,2,1,1,3,765.29,10714,0
24,1,2,1,1,3,765.29,10714,0
25,1,2,1,2,3,1346.93,18857,0
26,1,2,1,2,3,1346.93,18857,0
27,2,1,1,1,100,3443,6886,0.000765365
28,2,1,1,1,100,48777,48777,0.000182448
29,2,1,1,1,100,48777,48777,0.001383126
30,2,1,1,1,100,48777,48777,0
31,2,1,1,1,100,48777,48777,0.0002989
32,2,1,1,1,100,48777,48777,0
33,2,1,1,1,100,48777,48777,0
34,2,1,1,1,100,48777,48777,0.000417014
35,2,1,1,1,100,48777,48777,0
36,2,1,1,1,100,48777,48777,0
37,2,1,1,1,100,48777,48777,0.000530786
38,2,1,1,1,100,48777,48777,0
39,2,1,1,1,100,48777,48777,0
40,2,1,1,1,100,48777,48777,0.000490368
41,2,1,1,1,100,48777,48777,0.000334859
42,2,1,1,1,100,48777,48777,0.000404613
43,2,1,1,1,100,48777,48777,0
44,2,1,1,1,100,48777,48777,0.000149566
45,2,1,1,1,100,48777,48777,0
46,2,1,1,1,100,48777,48777,0.000581564
47,2,1,1,1,100,48777,48777,0.000217164
48,2,1,1,1,100,48777,48777,0
49,2,1,1,1,100,48777,48777,0
50,2,1,1,1,100,812.18,4060.88,8.74E-05
51,2,1,1,1,100,1787.5,7150,0.000111169
52,2,2,1,1,1.83,500,500,0.000286378
53,2,2,1,1,1.81,500,500,9.70E-05
54,2,1,1,1,100,1050,3000,0.000336051
55,2,2,1,1,2.63,1600,3000,0.000856857
56,2,2,1,1,5.5,10000,10000,0.000165623
57,2,2,1,1,5.5,6000,6000,0.000109733
58,2,1,1,1,100,900,4000,0.00019829
59,2,1,1,1,100,613.05,613.05,0.000306138
60,2,1,1,2,100,200,3000,0
61,1,1,1,1,100,2100,29024.95,0
62,1,1,1,1,100,2100,29024.95,0
63,1,1,1,1,100,2100,29024.95,0
64,1,1,1,1,100,1200,138735,0
65,1,1,1,1,100,1200,138735,0
66,1,1,1,1,100,1200,138735,0
67,1,2,1,2,14.5,18000,20000,0
68,1,2,1,2,14.5,18000,20000,0
69,1,2,1,2,14.5,18000,20000,0
70,1,2,1,1,10.5,20000,20000,0
71,1,2,1,1,10.5,20000,20000,0
72,1,2,1,1,10.5,20000,20000,0
73,1,2,1,1,10.5,20000,20000,0
74,1,2,1,1,10.5,20000,20000,0
75,1,1,1,1,100,14000,20000,0
76,1,1,1,1,100,14000,20000,0
77,1,1,1,1,100,14000,20000,0
78,1,1,1,1,100,1380,58155.14,0
79,1,1,1,1,100,1380,58155.14,0
80,1,1,1,1,100,1380,58155.14,0
81,1,1,1,1,100,1380,58155.14,0
82,1,1,1,1,100,1830.7,38500,0
83,1,1,1,1,100,1830.7,38500,0
84,1,2,1,1,5,2000,40000,0
85,1,2,1,1,5,2000,40000,0
86,1,2,1,1,5,2000,40000,0
87,1,2,1,2,7,13200,50175,0
88,1,2,1,2,7,13200,50175,0.000905387
89,1,2,1,2,7,13200,50175,1.24E-05
90,1,2,1,1,4,3000,50000,0.017165006
91,1,2,1,1,4,3000,50000,0.001652437
92,1,2,1,1,4,3000,50000,6.49E-06
93,1,2,1,1,4,10740,82000,0
94,1,2,1,1,4,10740,82000,0
95,1,2,1,1,4,10740,82000,0
96,1,1,1,2,100,12000,20000,0
97,1,1,1,2,100,12000,20000,0
98,1,1,1,2,100,12000,20000,0
99,1,1,1,2,100,12000,20000,0
100,1,1,1,2,100,12000,20000,0
101,1,1,1,2,100,12000,20000,0
102,1,2,1,2,12,5600,45553.2,0
103,1,2,1,2,12,5600,45553.2,0
104,1,2,1,2,12,5600,45553.2,0
105,1,2,1,2,12,5600,45553.2,0
106,1,2,1,2,12,5600,45553.2,0
107,1,2,1,2,12,5600,45553.2,0
108,1,1,1,2,100,8000,20000,0
109,1,1,1,2,100,8000,20000,0
110,1,2,1,2,14,80000,220000,0
111,1,2,1,2,14,80000,220000,0
112,1,2,1,2,18,15000,20000,0
113,1,2,1,2,18,15000,20000,0
114,1,1,1,2,100,12390,217960,0
115,1,1,1,2,100,12390,217960,0
116,1,1,1,2,100,900,25000,0
117,1,2,1,2,10,11440,261000,0
118,1,2,1,2,10,11440,261000,0
119,1,2,1,2,10,11440,261000,0
120,1,2,1,2,10,11440,261000,0
121,2,2,1,2,10,8800,237100,0
122,2,2,1,2,10,8800,237100,0
123,1,2,1,1,6,7500,87000,0
124,1,2,1,1,6,7500,87000,0
125,1,2,1,1,6,7500,87000,0
126,1,2,1,1,6,7500,87000,0
127,1,2,1,1,6,7500,87000,0
128,1,2,1,1,6,7500,87000,0
129,2,2,1,1,6,2900,87000,0.025163341
130,2,2,1,1,6,2900,87000,0.002134472
131,2,2,1,1,6,2900,87000,0.00120964
132,2,2,1,1,6,2900,87000,0.011669908
133,2,2,1,1,6,2900,87000,0.003494976
134,2,2,1,1,6,2900,87000,0.001094256
135,2,2,1,1,6,2900,87000,0.000752739
136,2,2,1,2,8,20000,43500,0.001372378
137,2,2,1,2,8,20000,43500,0.000862367
138,2,2,1,2,8,20000,43500,0.003774032
139,1,2,1,1,4,3862.5,130500,0
140,1,2,1,1,4,3862.5,130500,0.000199006
141,1,2,1,1,4,3862.5,130500,0
142,1,2,1,1,4,3862.5,130500,0.000120435
143,1,2,1,1,4,3862.5,130500,0.001344387
144,1,2,1,1,10,15000,27000,0
145,1,2,1,1,10,1470,35000,0
146,1,2,1,1,10,1470,35000,0
147,1,2,1,1,10,1470,35000,0
148,1,2,1,1,10,1470,35000,0
149,1,2,1,1,10,2900,38819.24,0
150,1,2,1,1,10,2900,38819.24,0
151,1,2,1,1,10,2900,38819.24,0
152,1,2,1,1,10,2900,38819.24,0
153,1,2,1,1,10,2900,38819.24,0
154,1,2,1,2,5,5800,80000,0
155,1,2,1,2,5,5800,80000,0
156,1,2,1,2,5,5800,80000,0
157,1,1,1,1,100,2580,16217.92,0
158,1,1,1,1,100,2580,16217.92,0
159,1,1,1,1,100,2580,16217.92,0
160,1,1,1,1,100,18250,95399.54,0
161,1,1,1,1,100,18250,95399.54,0
162,1,1,1,1,100,18250,95399.54,0
163,2,2,1,1,15,3000,58333,0
164,2,2,1,1,15,3000,58333,0
165,2,2,1,1,15,3000,58333,0
166,2,2,1,1,1.83,500,500,7.98E-05
167,2,1,1,1,100,200000,100000000,0
168,2,1,1,1,100,200000,100000000,0
169,2,1,1,1,100,200000,100000000,0
170,2,1,1,1,100,200000,100000000,0
171,2,1,1,1,100,200000,100000000,0
172,1,2,1,2,3,357.4,2500,0.000292413
173,1,2,1,1,2,4460,19839,0
174,1,2,1,2,3,571.4,4000,0.000367579
175,1,2,1,1,2,451,1804,0
176,1,2,1,2,3,500,3500,0.000214408
177,1,2,1,2,2,2558,10233,0
178,1,2,1,2,10,571.4,4000,0.000160914
179,1,2,1,2,3,8874,35495,4.17E-05
180,2,2,1,1,3,330,1319,0.000310094
181,2,2,1,1,3,474,4743,0
182,2,2,1,1,3,633,8232,0.000149893
183,2,2,1,2,10,633,633,9.10E-05
184,2,2,1,1,3,2173,13037,0.000201418
185,2,2,1,1,3,1086,4045,0.000101073
186,2,2,1,1,3,1563,15627,6.60E-05
187,2,2,1,1,3,2098,27277,0.00012357
188,2,2,1,2,15,2098,2098,0.000221744
189,2,2,1,1,3,465,1860,0
190,2,2,1,1,3,675,6749,0
191,2,2,1,1,3,633,8232,0.000205942
192,2,2,1,2,10,633,633,0
193,2,2,1,1,3,1570,9421,0.000131609
194,2,2,1,1,3,785,3140,5.86E-05
195,2,2,1,1,3,1132,11321,8.28E-05
196,2,2,1,1,3,1482,19269,0.000165024
197,2,2,1,2,10,1482,1482,0.000338367
198,2,2,1,1,20,2513,10052,0.000560103
199,1,2,1,1,5,201.4,6031,0.000594727
200,2,2,1,1,5,2441,9766,0.000673906
201,1,2,1,1,5,242.8,7284,0.000491141
202,2,2,1,1,20,7852,31411,0.000737338
203,1,2,1,1,5,629,18870,0.000561533
204,2,2,1,1,3,71,850,0.001010407
205,2,2,1,1,3,232,2781,0.000904508
206,2,2,1,1,3,224,2684,0.000808543
207,2,1,1,2,100,5500,110000,0.000723871
208,2,1,1,1,100,1450,10000,0
209,2,1,1,1,100,1450,10000,0
210,2,1,1,1,100,10000,30000,0.000899854
211,2,1,1,1,100,10000,30000,0.000127981
212,2,2,1,1,1.83,335,1000,0
213,2,2,1,1,15,500,3000,0.000411975
214,1,2,1,2,7.53,5000,5000,0
215,1,2,1,1,7.5,5000,10000,0
216,2,2,1,1,1.87,200,500,5.42E-05
217,2,2,1,1,6.3,7000,14000,0.000203746
218,2,2,1,1,6.3,7000,14000,0.000134898
219,2,2,1,1,4.81,11000,11000,0.008100365
220,2,2,1,1,5.5,10000,10000,0.000195256
221,2,2,1,1,5.5,10000,10000,8.33E-05
222,2,2,1,1,5.5,6000,6000,0.000113407
223,1,2,1,1,6.86,1524,10672.22,8.49E-05
224,1,2,1,1,6.86,1524,10672.22,3.66E-05
225,1,2,1,1,5.16,681.81,5454.54,0.000242097
226,2,1,1,1,100,2727.27,5454.54,1.26E-05
227,2,1,1,1,100,1812.33,1812.33,0.000182978
228,2,1,1,1,100,1812.33,1812.33,0.000187881
229,2,1,1,1,100,1148.62,1148.62,8.08E-05
230,2,1,1,1,100,1624.35,1624.35,0.000209663
231,2,1,1,1,100,812.18,812.18,1.81E-05
232,2,1,1,1,100,812.18,812.18,0.000189492
233,2,1,1,1,100,982.84,982.84,0.000388857
234,2,1,1,1,100,1085.03,1085.03,0.000843604
235,2,1,1,1,100,982.84,982.84,0.000204127
236,2,1,1,1,100,1037.94,1037.94,4.61E-05
237,2,1,1,1,100,1037.94,1037.94,6.71E-05
238,1,2,1,2,0.04,5,200,0
239,1,2,1,2,0.04,5,200,0
240,2,2,1,2,0.04,10,10,0
241,2,2,1,2,0.04,10,10,0
242,2,2,1,2,0.04,10,10,0
243,2,2,1,2,0.07,10,116.67,0.004316547
244,2,2,1,2,0.07,10,116.67,0.001272265
245,1,2,1,2,0.04,6,150,0
246,1,2,1,2,0.04,6,150,0
247,1,2,1,2,0.1,100,500,0
248,1,2,1,2,0.1,100,500,0
249,1,2,1,2,0.1,100,500,0.00160901
250,2,1,1,2,100,500,500,0
251,2,1,1,2,100,500,500,8.01E-05
252,1,2,1,2,0.2,80,1000,0.000187119
253,1,2,1,2,0.2,80,1000,1.45E-05
254,1,2,1,2,0.2,80,1000,0
255,1,2,1,2,0.2,150,2000,0.000427442
256,1,2,1,2,0.2,150,2000,0.000280073
257,1,2,1,2,0.2,150,2000,0
258,1,2,1,1,0.15,20,40,0
259,1,2,1,1,0.15,20,40,0.001040583
260,1,2,1,1,0.15,20,40,0.001192809
261,2,2,1,2,0.07,28.65,279.33,0.001064963
262,2,2,1,2,0.07,28.65,279.33,0.000827558
263,1,1,1,2,100,10,260,0
264,1,1,1,2,100,10,260,0
265,1,2,1,1,0.1,10,30,0.001557632
266,1,2,1,1,0.1,10,30,0.000751033
267,1,2,1,1,0.1,10,30,0.001185302
268,2,2,1,2,0.07,26,279.33,0.000863558
269,2,2,1,2,0.07,26,279.33,0.000469704
270,2,2,1,2,0.12,2.6,500,0.000650388
271,2,2,1,2,0.12,2.6,500,0
272,2,1,1,2,100,575,1349.16,0.00038355
273,2,1,1,2,0.08,575,1349.16,0.000576646
274,2,1,1,2,0.08,575,1349.16,0.000656312
275,2,1,1,2,100,180,1800,0
276,2,1,1,2,100,180,1800,0
277,2,1,1,2,0.08,670,1968.76,0.001328021
278,2,1,1,2,0.08,670,1968.76,0.000598086
279,2,1,1,2,0.08,670,1968.76,0.000580687
280,2,1,1,2,100,670,1968.76,0.000466681
281,2,2,1,2,0.08,1,326.38,0
282,1,1,1,2,100,12,500,0
283,1,1,1,2,100,12,500,0
284,1,1,1,2,100,12,500,0
285,2,1,1,2,100,7,3000,0
286,2,1,1,2,100,7,3000,0
287,1,2,1,2,0.08,18,279,0
288,2,1,1,1,100,185,221,0
289,2,2,1,2,0.15,300,3000,0
290,1,2,1,2,0.15,75,3000,0
291,2,2,1,2,0.15,10,350,0
292,1,1,1,2,100,90,800,0
293,1,1,1,2,100,90,800,0
294,1,1,1,2,100,90,800,0
295,2,2,1,2,0.1,35,40.8,0
296,2,1,1,1,100,750,3000,0.002884711
297,1,1,1,1,100,1000,1000,2.71E-05
298,2,1,1,1,100,1000,1000,8.94E-05
299,2,2,1,1,40,74000,349700,0.000175557
300,2,2,1,1,30,70000,339767,0.000195866
301,2,2,1,1,8,1000,1000,0
302,2,2,1,2,8,4000,4000,0
303,2,2,1,2,8,3000,3000,0
304,2,2,1,2,8,3000,3000,0
305,2,2,1,2,8,1500,1500,0
306,2,2,1,2,8,2500,2500,0
307,1,1,1,1,100,8560,60415.27,0
308,1,1,1,1,100,8560,60415.27,0
309,1,1,1,1,100,8560,60415.27,0
310,2,2,1,1,3,660,3959,0.000233216
311,2,2,1,1,3,930,5580,0.00015052
312,2,2,1,1,3,86,1030,0.000768927