,Max Bid,Ad Delivery Status,Billing Event,Optimization Goal,Automatically Set Bid,Bid Type,Budget Pacing,Age Range,Gender,Duration,Frequency Cap,Duration Days,conversion
0,0.0445445445445,2,1,1,2,1,1,10,3,0.0,-1.0,4,0.000785083415113
3,0.374374374374,2,1,1,2,1,1,10,3,0.15637561031,-1.0,4,0.000894231169155
4,0.374374374374,1,1,1,2,1,1,10,3,0.725036902464,-1.0,4,0.000443186309935
11,0.0740740740741,2,1,1,2,1,1,10,3,0.136573180425,-1.0,4,0.000151466604527
12,0.0740740740741,2,1,1,2,1,1,10,3,0.136550471216,-1.0,4,0.00015503961816
13,0.0740740740741,2,1,1,2,1,1,10,3,0.136505052799,-1.0,4,0.000166112956811
15,0.249249249249,1,1,1,2,1,1,10,3,0.433655047122,-1.0,4,0.000128058946518
16,0.0447947947948,2,1,1,2,1,1,10,3,0.00445100488248,-1.0,4,5.24917850356e-05
28,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.000182448458311
29,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.00138312586445
34,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.000417014178482
40,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.000490367775832
44,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.000149566257852
46,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.000581564408258
47,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.0002171635187
51,-1.0,2,1,1,1,1,1,2,3,0.0625411604406,-1.0,4,0.000111169121982
52,0.0447947947948,2,1,1,2,1,1,10,3,0.0175996366527,-1.0,4,0.000286377629816
55,0.0648148148148,2,1,1,2,1,1,10,3,0.0623594867719,-1.0,4,0.000856856610539
56,0.136636636637,2,1,1,2,1,1,1,3,0.0015669353923,-1.0,4,0.000165623240253
57,0.136636636637,2,1,1,2,1,1,1,3,0.0997388441013,-1.0,4,0.00010973271421
58,-1.0,2,1,1,1,1,1,10,3,0.135982741001,-1.0,4,0.000198289537209
59,-1.0,2,1,1,1,1,1,10,3,0.0189621891677,-1.0,4,0.000306138068269
88,0.174174174174,1,1,1,2,1,2,10,3,-1.0,-1.0,4,0.000905387052965
90,0.0990990990991,1,1,1,2,1,1,10,3,-1.0,-1.0,4,0.0171650055371
91,0.0990990990991,1,1,1,2,1,1,10,3,-1.0,-1.0,4,0.00165243734508
92,0.0990990990991,1,1,1,2,1,1,10,3,-1.0,-1.0,4,6.48760866745e-06
129,0.149149149149,2,1,1,2,1,1,10,3,1.0,-1.0,4,0.0251633409853
133,0.149149149149,2,1,1,2,1,1,10,3,1.0,-1.0,4,0.00349497597204
134,0.149149149149,2,1,1,2,1,1,10,3,1.0,-1.0,4,0.00109425573332
136,0.199199199199,2,1,1,2,1,2,10,3,0.423208811173,-1.0,4,0.00137237754669
137,0.199199199199,2,1,1,2,1,2,10,3,0.423208811173,-1.0,4,0.00086236733368
138,0.199199199199,2,1,1,2,1,2,10,3,0.423208811173,-1.0,4,0.00377403170187
143,0.0990990990991,1,1,1,2,1,1,10,3,-1.0,-1.0,4,0.00134438718351
166,0.0447947947948,2,1,1,2,1,1,10,3,0.0407630294084,-1.0,4,7.97957229492e-05
174,0.0740740740741,1,1,1,2,1,2,3,3,0.203383672079,-1.0,4,0.000367579489065
176,0.0740740740741,1,1,1,2,1,2,3,3,0.203429090496,-1.0,4,0.000214408233276
180,0.0740740740741,2,1,1,2,1,1,10,3,0.105007380493,-1.0,4,0.000310093544886
182,0.0740740740741,2,1,1,2,1,1,10,3,0.341183149767,-1.0,4,0.000149893371306
183,0.249249249249,2,1,1,2,1,2,5,3,0.00233904848416,-1.0,4,9.10415149308e-05
184,0.0740740740741,2,1,1,2,1,1,10,3,0.201385261724,-1.0,4,0.000201417849584
185,0.0740740740741,2,1,1,2,1,1,10,3,0.105030089701,-1.0,4,0.000101072815744
187,0.0740740740741,2,1,1,2,1,1,10,3,0.341160440559,-1.0,4,0.00012356962829
191,0.0740740740741,2,1,1,2,1,1,10,3,0.341183149767,-1.0,4,0.000205942033375
193,0.0740740740741,2,1,1,2,1,1,10,3,0.201430680141,-1.0,4,0.000131608710852
194,0.0740740740741,2,1,1,2,1,1,10,3,0.105075508119,-1.0,4,5.85868843495e-05
195,0.0740740740741,2,1,1,2,1,1,10,3,0.302918133303,-1.0,4,8.28397465104e-05
199,0.124124124124,1,1,1,2,1,1,3,3,-1.0,-1.0,4,0.000594726756096
203,0.124124124124,1,1,1,2,1,1,3,3,-1.0,-1.0,4,0.000561533110176
204,0.0740740740741,2,1,1,2,1,1,3,3,0.384716702623,-1.0,4,0.0010104071941
211,-1.0,2,1,1,1,1,1,10,3,0.0339502668332,-1.0,4,0.000127980888187
213,0.374374374374,2,1,1,2,1,1,10,3,0.207925513796,-1.0,4,0.000411974732216
217,0.156656656657,2,1,1,2,1,1,7,3,0.0309526513001,-1.0,4,0.000203746418716
218,0.156656656657,2,1,1,2,1,1,7,3,0.0310889065516,-1.0,4,0.000134898151895
219,0.119369369369,2,1,1,2,1,1,1,3,0.0151016237084,-1.0,4,0.00810036488319
220,0.136636636637,2,1,1,2,1,1,1,3,0.0011354604292,-1.0,4,0.000195256299585
221,0.136636636637,2,1,1,2,1,1,1,3,0.00154422618372,-1.0,4,8.32639467111e-05
222,0.136636636637,2,1,1,2,1,1,1,3,0.0635176564097,-1.0,4,0.000113406909523
223,0.170670670671,1,1,1,2,1,1,1,3,0.19936414216,-1.0,4,8.49096655503e-05
225,0.128128128128,1,1,1,2,1,1,8,3,0.231906438061,-1.0,4,0.000242096713732
226,-1.0,2,1,1,1,1,1,8,3,0.0625638696491,-1.0,4,1.25982664785e-05
229,-1.0,2,1,1,1,1,1,10,3,0.0138526172363,-1.0,4,8.07787067329e-05
231,-1.0,2,1,1,1,1,1,10,3,0.0169183603951,-1.0,4,1.80559191817e-05
233,-1.0,2,1,1,1,1,1,10,3,0.0189621891677,-1.0,4,0.000388857466063
234,-1.0,2,1,1,1,1,1,3,3,0.0153514250028,-1.0,4,0.000843604041069
235,-1.0,2,1,1,1,1,1,9,3,0.0516634495288,-1.0,4,0.000204126966973
236,-1.0,2,1,1,1,1,1,10,3,0.0189621891677,-1.0,4,4.61151803488e-05
237,-1.0,2,1,1,1,1,1,10,3,0.0189621891677,-1.0,4,6.71045236837e-05
243,0.000750750750751,2,1,1,2,1,2,10,3,0.952583172476,-1.0,4,0.00431654676259
249,0.0015015015015,1,1,1,2,1,2,10,3,0.471783808334,-1.0,4,0.00160901045857
251,-1.0,2,1,1,1,1,2,10,3,0.160576813898,-1.0,4,8.00768737988e-05
253,0.004004004004,1,1,1,2,1,2,10,3,0.730532530941,-1.0,4,1.45022115873e-05
255,0.004004004004,1,1,1,2,1,2,10,3,0.73055524015,-1.0,4,0.00042744176106
256,0.004004004004,1,1,1,2,1,2,10,3,0.73055524015,-1.0,4,0.000280072818933
259,0.00275275275275,1,1,1,2,1,1,3,3,-1.0,-1.0,4,0.00104058272633
261,0.000750750750751,2,1,1,2,1,2,10,3,0.62550244124,-1.0,4,0.0010649627263
262,0.000750750750751,2,1,1,2,1,2,10,3,0.62550244124,-1.0,4,0.000827557670425
265,0.0015015015015,1,1,1,2,1,1,3,3,-1.0,-1.0,4,0.00155763239875
266,0.0015015015015,1,1,1,2,1,1,3,3,-1.0,-1.0,4,0.000751032669921
267,0.0015015015015,1,1,1,2,1,1,3,3,-1.0,-1.0,4,0.00118530225207
269,0.000750750750751,2,1,1,2,1,2,10,3,0.625457022823,-1.0,4,0.000469704086426
272,-1.0,2,1,1,1,1,2,10,3,0.365527421369,-1.0,4,0.000383549968038
273,0.001001001001,2,1,1,1,1,2,10,3,0.365527421369,-1.0,4,0.000576645843345
277,0.001001001001,2,1,1,1,1,2,10,3,0.463245145907,-1.0,4,0.00132802124834
278,0.001001001001,2,1,1,1,1,2,10,3,0.463245145907,-1.0,4,0.000598086124402
280,-1.0,2,1,1,1,1,2,10,3,0.463245145907,-1.0,4,0.000466681403974
297,-1.0,1,1,1,1,1,1,2,3,-1.0,-1.0,4,2.70969664946e-05
299,1.0,2,1,1,2,1,1,10,3,0.143340524583,-1.0,4,0.000175557412626
300,0.74974974975,2,1,1,2,1,1,10,3,0.143385943,-1.0,4,0.000195866060259
